STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/27/2000,15.66,0,,,43,52,34,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/28/2000,6.71,0,,,40,55,25,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",2/29/2000,16.55,0,,,52,65,39,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/1/2000,14.76,0.04,,,44,54,33,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/2/2000,7.83,0,,,32,42,22,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/3/2000,2.68,0,,,33,49,17,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/4/2000,9.4,0,,,44,62,25,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/5/2000,5.59,0,,,52,69,34,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/6/2000,9.4,0,,,51,70,32,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/7/2000,11.63,0,,,62,78,45,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/8/2000,15.21,0,,,63,77,48,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/9/2000,17.22,0,,,45,61,28,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/10/2000,7.83,0,,,31,35,26,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/11/2000,10.29,0,,,29,37,21,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/12/2000,4.25,0,,,33,48,17,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/13/2000,6.71,0.02,,,37,44,29,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/14/2000,11.41,0,,,43,58,27,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/15/2000,10.51,0.4,,,49,65,33,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/16/2000,13.65,0,,,31,40,22,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/17/2000,9.17,0,,,28,37,19,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/18/2000,10.29,0,,,34,42,26,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/19/2000,12.3,0.11,,,39,42,35,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/20/2000,8.28,0.21,,,49,56,42,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/21/2000,4.25,0.01,,,46,51,41,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/22/2000,2.24,0,,,47,57,37,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/23/2000,6.93,0,,,50,65,34,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/24/2000,11.41,0.08,,,59,69,49,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/25/2000,16.33,0,,,50,61,39,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/26/2000,11.63,0.12,,,50,68,31,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/27/2000,13.87,0.03,,,47,56,37,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/28/2000,13.2,0.01,,,39,47,31,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/29/2000,5.82,0.11,,,39,52,26,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/30/2000,3.58,0,,,41,57,24,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",3/31/2000,3.8,0,,,45,62,27,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/1/2000,4.92,0,,,49,57,40,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/2/2000,4.25,0.03,,,51,58,44,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/3/2000,13.42,0,,,50,61,39,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/4/2000,14.32,0,,,37,47,27,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/5/2000,13.87,0,,,44,64,23,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/6/2000,14.54,0,,,52,64,39,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/7/2000,17.22,0.35,,,40,50,29,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/8/2000,15.21,0,,,34,42,26,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/9/2000,11.41,0,,,44,59,28,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/10/2000,11.63,0.05,,,34,40,28,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/11/2000,8.95,0,,,35,41,28,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/12/2000,6.71,0,,,38,50,25,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/13/2000,10.96,0,,,50,64,35,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/14/2000,13.2,0,,,57,76,37,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/15/2000,11.18,0,,,58,75,40,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/16/2000,11.41,1.14,,,46,53,39,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/17/2000,11.41,0,,,41,43,39,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/18/2000,4.7,0,,,47,53,40,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/19/2000,9.4,0.87,,,52,58,46,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/20/2000,13.42,1.76,,,55,67,42,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/21/2000,16.11,0.11,,,47,58,36,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/22/2000,2.91,0,,,49,65,32,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/23/2000,8.28,0.16,,,46,51,40,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/24/2000,12.75,0,,,51,66,35,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/25/2000,10.07,0,,,48,63,33,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/26/2000,5.14,0,,,49,66,32,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/27/2000,5.59,0,,,54,70,38,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/28/2000,5.59,0,,,54,71,37,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/29/2000,9.62,0,,,51,63,38,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",4/30/2000,4.7,0,,,54,71,36,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/1/2000,5.14,0.13,,,56,67,45,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/2/2000,5.59,0,,,55,72,38,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/3/2000,9.4,0,,,62,77,46,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/4/2000,12.75,0,,,71,80,61,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/5/2000,9.84,0,,,71,83,58,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/6/2000,12.3,0,,,72,84,60,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/7/2000,8.28,0,,,71,78,63,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/8/2000,13.87,0.36,,,75,83,66,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/9/2000,10.74,0.89,,,59,66,51,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/10/2000,6.04,0,,,54,64,43,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/11/2000,12.08,0.56,,,66,75,57,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/12/2000,12.97,0,,0,72,85,58,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/13/2000,17,0,,,51,58,43,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/14/2000,11.86,0,,,50,63,37,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/15/2000,4.25,0,,,54,70,37,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/16/2000,6.71,0.23,,,61,68,53,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/17/2000,8.5,0.03,,,61,68,53,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/18/2000,16.11,0.31,,,58,68,47,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/19/2000,13.42,0,,,47,49,45,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/20/2000,4.92,0,,,55,65,45,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/21/2000,6.71,0,,,55,69,41,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/22/2000,9.4,0.18,,,66,78,54,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/23/2000,7.83,0,,,69,81,57,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/24/2000,11.63,0,,,66,80,52,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/25/2000,10.29,0,,,62,76,48,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/26/2000,5.37,0.08,,,58,70,46,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/27/2000,8.72,0.22,,,61,67,54,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/28/2000,9.17,0.22,,,55,61,49,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/29/2000,5.82,0,,,57,70,43,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/30/2000,11.41,0.17,,,68,82,53,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",5/31/2000,8.95,0.59,,,69,77,61,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/1/2000,9.17,0.35,,,73,86,60,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/2/2000,9.4,0,,,60,70,49,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/3/2000,5.82,0,,,55,67,43,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/4/2000,7.16,0.1,,,56,61,50,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/5/2000,13.65,0.27,,,55,64,46,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/6/2000,3.8,0,,0,57,73,40,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/7/2000,8.95,0,,,62,78,46,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/8/2000,13.42,0,,,76,88,64,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/9/2000,13.2,0,,,76,87,65,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/10/2000,16.55,0,,,78,88,68,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/11/2000,10.07,0.67,,,71,83,58,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/12/2000,9.17,0.39,,,59,64,54,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/13/2000,7.83,0.4,,,70,82,58,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/14/2000,12.53,0.13,,,70,76,64,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/15/2000,14.09,0.01,,,70,78,61,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/16/2000,13.2,0.1,,,66,72,60,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/17/2000,8.95,0,,,59,66,52,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/18/2000,4.47,0,,,63,75,51,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/19/2000,6.93,0,,,66,80,51,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/20/2000,14.09,0.83,,,73,81,65,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/21/2000,15.66,0.04,,,72,79,65,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/22/2000,12.75,0,,,71,81,60,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/23/2000,5.14,0.21,,,71,85,56,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/24/2000,7.83,1.09,,,,,,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/25/2000,5.37,0,,,74,84,63,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/26/2000,8.72,0.02,,,70,79,60,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/27/2000,5.59,0,,,65,75,55,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/28/2000,5.82,0.31,,,61,69,53,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/29/2000,6.71,0.01,,,63,74,52,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",6/30/2000,4.7,0.17,,,65,79,51,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/1/2000,7.38,0.01,,,69,81,56,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/2/2000,7.61,1.23,,,74,84,64,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/3/2000,6.71,0.12,,,71,75,66,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/4/2000,4.47,0,,,70,79,61,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/5/2000,5.14,0,,,76,84,67,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/6/2000,8.5,0,,,74,84,63,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/7/2000,6.93,0,,,69,78,60,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/8/2000,9.17,0,,,73,83,62,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/9/2000,9.4,0.01,,,79,87,70,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/10/2000,8.05,0.81,,,72,82,61,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/11/2000,8.95,0,,,69,78,59,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/12/2000,7.16,0,,,72,81,62,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/13/2000,5.59,0,,,74,85,62,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/14/2000,10.96,0,,,75,85,65,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/15/2000,5.59,0,,,71,81,60,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/16/2000,4.47,0,,,70,82,58,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/17/2000,8.5,0,,,76,85,67,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/18/2000,9.84,0.03,,,65,72,58,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/19/2000,6.71,0,,,64,71,57,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/20/2000,7.16,0,,,67,75,58,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/21/2000,6.49,0,,,64,73,55,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/22/2000,5.59,0,,,64,74,53,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/23/2000,6.04,0,,,61,74,48,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/24/2000,2.24,0,,,64,79,49,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/25/2000,6.04,0,,,,,,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/26/2000,8.5,0,,,71,82,59,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/27/2000,8.05,0,,,74,84,64,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/28/2000,6.04,0.01,,,72,82,62,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/29/2000,10.51,0.13,,,73,79,66,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/30/2000,7.16,0.84,,,70,74,65,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",7/31/2000,8.72,1.05,,,70,74,65,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",8/1/2000,6.26,0.2,,,71,82,60,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",8/2/2000,10.29,0.01,,,74,85,62,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",8/3/2000,8.72,0,,,64,74,54,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",8/4/2000,3.8,0,,,66,79,53,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",8/5/2000,9.84,0.46,,,65,73,56,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",8/6/2000,8.05,0.91,,,77,86,67,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",8/7/2000,8.72,0.01,,,73,83,63,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",8/8/2000,10.29,0,,,76,83,68,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",8/9/2000,6.71,0,,,75,85,64,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",8/10/2000,5.59,0.01,,,72,83,60,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",8/11/2000,6.49,0,,,69,80,58,
USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",8/12/2000,3.36,0.01,,,68,80,56,
